"Timestamp","What is your age?","What is your highest level of education?","How often do you use drugs?","Have you used Cannabis?","How realistic does this cannabis experience sound:
""I felt a very slight rush but began to doubt that anything was going to happen. A few minutes later, my attention was drawn to a colorful tortilla chip bag on the table, which somehow seemed more vibrantly colored than it had been before. Suddenly, the most strong and pleasant desire to sleep came over me. I had never felt so relaxed. I fell asleep and the dreams I had were vibrant and musical: I dreamt that an orchestra was playing very loudly on stage.""","How realistic does this cannabis experience sound:
""My first bowl hit was crazy; as soon as I smoked it I started to get crazy laughs and felt the best I have ever felt in my life. We were sitting there laughing and having a good time until we went inside the house and then the couch began to feel like a trampoline. He told me to lie down on it because he thought it would be funnier if I fell off, but I didn't think it was very funny when I woke up next morning on the floor with no shirt on...""","Have you used MDMA/XTC?","How realistic does this MDMA/XTC experience sound:
""When these feelings subsided, I was flooded with love. For myself and for others. I felt the importance of communication and contact. I knew that it would be imperative to maintain contact during this period of isolation and that I have a responsibility to my professors and classmates to continue to work through this as usual to give their work meaning. I felt I owe it to everyone to be stable and strong, because this will give them strength too. I remember weeping during these thoughts. I felt as though I was directing the trip at this point.""","How realistic does this MDMA/XTC experience sound:
""After about twenty minutes I started to feel really strange, then my friend said she didn't feel anything yet, so I gave her half of my pill. My heart began beating fast, and I told her to sit down because we might start dancing around or something, which would be bad since we were at my friends house (who also gave us the pill) and his parents were there. Then my head became super fuzzy, and my legs felt really hot.""","Have you used LSD?","How realistic does this LSD experience sound:
""Like with all acid trips, after the ego loss it all comes flooding back and I felt a part of the future, the past and the present, I looked into the past and made insights into the future. Just started enjoying being again, enjoying the taste of food and having a lust to learn again. The day continued and lots more happened that day, but they more revolved around life choices and making my friends, family and loved ones feel loved.""","How realistic does this LSD experience sound:
""First I noticed a picture on the wall start to swirl, then it started bending and moving slowly across the wall. Soon it moved past into another room where the colors melted together into a smooth blur of color. The floor beneath me also moved and began to breathe with a steady, smooth rhythm like ocean waves.""","Have you used Salvia Divinorum?","How realistic does this Salvia Divinorum experience sound:
""I normally would be relieved to get rid of the nasty taste, but had gotten used to it and was feeling very numb so did not care that it was gross. While before I had been just very disoriented, with things appearing odd and different, I suddenly COULD NOT SEE anything real around me. Everything real faded away. I mean I had a complete and total hallucination, but believed I was really in it. It’s hard to describe but was like this: I’m in a giant forest, with like a field in it, and there’s big trees and really tall grass, all bizarre colors and what-have-you.""","How realistic does this Salvia Divinorum experience sound:
""They then offered me some salvia out of their pipe. It felt like someone just gave me a 50 foot bong hit! I was spinning around so hard that when I closed my eyes I was looking at myself standing on the couch. Then I heard something inside my head say “You better open your fucking eyes because if you don’t you are going to fall over and kill yourself!”""","Have you used Mushrooms?","How realistic does this Mushroom experience sound:
""My soul was flying freely around the universe and I was actually meeting a lot of people. I couldn't see much but blue soul-like figures floating around on blue hover-craft-like vehicles. There was a young boy, and old man and a mean goblin like character. I was running around in the darkness asking everyone what 'The Truth' was. Everyone was telling me hints about 'The Truth' until finally I made my way into a tiny hole in the sleeping bag. The goblin popped his head out which exhausted red puffs of smoke with white outlines.""","How realistic does this Mushroom experience sound:
""They tasted really bad because we chewed them, but they weren't too bad. We started watching this DVD I borrowed from another friend and then we both felt the body high coming on. But then after 20 minutes or so, the DVD started lagging so we turned off the TV and listened to some music. Then I said I should go lie down because I couldn't really focus on anything anymore, which was a slight bummer cause that movie looked like hella fun to watch. So I laid on my bed and stared at the ceiling for a while as the effects became much stronger.""","How coherent does this text sound?
""Next thing I know, I am looking at my friends sitting on the opposing couch and their bodies began to blend into the pattern on the couch and slowly get vacuumed up into a vortex like point in the wall above them. This is similar to the experience I had the day before with the 7x salvia extract, but much more intense. At this point I had begun my journey into a disillusioned reality. I think the best way to describe it is disassociation with my surrounding and with myself as a being.""","How coherent does this text sound?
""At the time of this trip I had done acid exactly once before. It was one of those perfect trips, you know how they are. I felt everything for the first time and saw beautiful patterns everywhere. A few weeks later, however, my tolerance rose enough that I had been unable to achieve anything even close to that original trip. Finally my friend came through with some excellent blotter.I dropped 2 hits at about 8 PM.""","How coherent does this text sound?
""My ceiling in my room is textured, not smooth, and this served as an origin point for my most intense visuals. Lights on, lying on my back, my ceiling blossomed into a wave of shifting patterns, which grew quite intense at times. I would compare this to a low dose of psilocybin mushrooms. I also saw small pinpoints of bright, neon-coloured lights within the patterns. Upon turning my gaze to my walls and artwork on them, the patterns spread to there too, with similar intensity. In fact, things seemed to actually move slightly.""","How coherent does this text sound?
""I also had hallucinations but these weren't too bad. It was more like having visions instead of actually seeing things that aren't there. For example, I thought that I could feel my heartbeat everywhere in my body. It felt like my blood was going through me at high speeds; this made me feel really weird but wasn't unpleasant. The other thing which happened was that sometimes when I closed my eyes I saw coloured shapes which were very fast moving.""","How coherent does this text sound?
""I felt like I was in a cave inside my brain. My ego and inhibitions regarding what I thought dropped completely. I was able to talk freely about what I sensed from T and the strangers around me. My people intuition was brutally honest, yet caring. At some point T and I were near the water where he explained how much he loved the water, boat houses, and birds. I was able to connect these three things and became T. I felt as though I were him, sensing all feelings, hopes, etc. i completely understood him, understood how others saw him, and how he saw himself.""","How coherent does this text sound?
""My heart rate felt like it was going crazy (I still get that feeling sometimes now). It sounded like my heart was thumping against my chest and pounding really hard (it was actually a bit scary). But during this whole thing I wasn't scared or anything. The other thing that happened was my head felt fuzzy and I felt like I couldn't think straight."""
"2024/04/29 2:44:17 PM GMT+3","25-30","University","A few times a week","Yes","3","9","No","","","No","","","No","","","No","","","6","7","8","8","5","7"
"2024/04/29 2:50:39 PM GMT+3","18-24","Vocational school","Never","No","","","No","","","No","","","No","","","No","","","9","8","10","9","8","9"
"2024/04/29 3:07:13 PM GMT+3","25-30","University","A few times a year","Yes","3","9","Yes","3","9","Yes","8","10","Yes","10","10","Yes","6","9","7","9","9","8","9","9"
"2024/04/29 3:18:35 PM GMT+3","18-24","University","Never","No","","","No","","","No","","","No","","","No","","","4","5","2","3","2","4"
"2024/04/29 3:19:21 PM GMT+3","18-24","High school","A few times a year","Yes","1","1","No","","","No","","","No","","","No","","","8","4","8","10","9","6"
"2024/04/29 3:21:38 PM GMT+3","25-30","University","A few times a year","Yes","3","8","Yes","4","9","Yes","3","10","Yes","9","9","Yes","2","9","6","8","10","10","10","10"
"2024/04/29 3:24:10 PM GMT+3","18-24","University","A few times a year","Yes","8","6","Yes","4","3","No","","","No","","","No","","","5","6","7","3","7","4"
"2024/04/29 3:24:42 PM GMT+3","18-24","University","A few times a month","Yes","5","4","Yes","3","10","No","","","No","","","No","","","4","7","8","9","7","8"
"2024/04/29 3:25:12 PM GMT+3","18-24","University","(Almost) daily","Yes","6","8","No","","","No","","","No","","","Yes","2","9","6","4","9","8","6","9"
"2024/04/29 3:26:25 PM GMT+3","18-24","University","A few times a year","Yes","8","7","Yes","5","9","No","","","No","","","No","","","8","8","8","8","6","9"
"2024/04/29 3:33:10 PM GMT+3","18-24","University","A few times a year","Yes","6","8","Yes","8","5","No","","","No","","","Yes","4","6","6","4","10","9","6","9"
"2024/04/29 3:38:16 PM GMT+3","25-30","University","A few times a year","Yes","3","3","Yes","6","2","No","","","No","","","Yes","2","5","4","4","7","6","2","8"
"2024/04/29 3:43:43 PM GMT+3","31-40","Don't want to answer","A few times a year","Yes","1","3","No","","","No","","","No","","","No","","","1","1","1","1","2","3"
"2024/04/29 3:44:27 PM GMT+3","25-30","University","A few times a year","Yes","8","10","Yes","10","6","Yes","9","10","No","","","Yes","2","9","5","8","7","5","10","4"
"2024/04/29 3:45:13 PM GMT+3","18-24","University","A few times a month","Yes","4","4","Yes","2","6","No","","","No","","","No","","","4","6","7","7","6","6"
"2024/04/29 3:48:44 PM GMT+3","18-24","University","A few times a week","Yes","8","3","Yes","3","2","No","","","No","","","Yes","2","4","7","10","4","8","6","5"
"2024/04/29 3:50:24 PM GMT+3","18-24","University","A few times a week","Yes","6","6","Yes","8","6","No","","","No","","","No","","","6","7","7","6","6","7"
"2024/04/29 3:51:57 PM GMT+3","18-24","University","A few times a week","Yes","6","5","Yes","4","3","Yes","10","4","No","","","No","","","4","10","7","9","2","8"
"2024/04/29 3:52:07 PM GMT+3","18-24","University","A few times a month","Yes","5","3","No","","","No","","","No","","","No","","","7","6","8","8","5","7"
"2024/04/29 3:55:38 PM GMT+3","25-30","University","A few times a year","Yes","7","7","Yes","8","7","Yes","7","8","Yes","8","6","No","","","8","9","9","9","9","8"
"2024/04/29 3:57:02 PM GMT+3","25-30","University","Never","No","","","No","","","No","","","No","","","No","","","7","4","8","6","9","6"
"2024/04/29 3:57:18 PM GMT+3","18-24","University","A few times a year","Yes","4","7","No","","","No","","","No","","","No","","","6","8","7","8","5","8"
"2024/04/29 3:57:21 PM GMT+3","18-24","University","A few times a year","Yes","3","6","No","","","No","","","No","","","Yes","1","8","8","9","8","8","5","9"
"2024/04/29 3:58:46 PM GMT+3","18-24","High school","A few times a year","Yes","6","6","No","","","No","","","No","","","No","","","6","8","9","10","7","8"
"2024/04/29 4:03:00 PM GMT+3","18-24","University","Never","Yes","6","3","Yes","6","2","No","","","No","","","Yes","2","3","1","1","3","5","3","5"
"2024/04/29 4:03:11 PM GMT+3","31-40","High school","Never","No","","","No","","","No","","","No","","","No","","","1","1","1","1","1","1"
"2024/04/29 4:05:07 PM GMT+3","18-24","University","A few times a year","Yes","2","5","No","","","No","","","No","","","Yes","1","10","6","5","8","9","5","4"
"2024/04/29 4:07:20 PM GMT+3","25-30","Vocational school","A few times a month","Yes","5","5","Yes","5","5","No","","","No","","","No","","","3","5","5","6","7","4"
"2024/04/29 4:08:31 PM GMT+3","18-24","University","A few times a year","Yes","3","7","Yes","9","6","No","","","No","","","No","","","3","6","7","7","8","8"
"2024/04/29 4:13:47 PM GMT+3","25-30","University","Never","No","","","No","","","No","","","No","","","No","","","8","5","4","9","3","8"
"2024/04/29 4:18:13 PM GMT+3","31-40","University","A few times a year","Yes","6","1","Yes","7","1","Yes","5","7","No","","","Yes","5","1","10","10","10","10","10","10"
"2024/04/29 4:19:01 PM GMT+3","18-24","High school","Never","No","","","No","","","No","","","No","","","No","","","5","5","5","5","5","5"
"2024/04/29 4:22:18 PM GMT+3","18-24","University","A few times a month","Yes","4","8","No","","","No","","","No","","","Yes","3","10","7","4","7","6","7","4"
"2024/04/29 4:27:20 PM GMT+3","25-30","High school","Never","No","","","No","","","No","","","No","","","No","","","4","2","3","6","4","4"
"2024/04/29 4:28:05 PM GMT+3","18-24","University","Never","Yes","1","1","No","","","No","","","No","","","No","","","2","4","6","7","5","6"
"2024/04/29 4:42:59 PM GMT+3","18-24","University","A few times a week","Yes","1","4","Yes","3","4","No","","","No","","","Yes","3","6","9","9","9","8","6","10"
